nid	mid	fields
1499224712642	1474174238449	extra-modest expression for たべる and のむ	いただく｜頂く
1499224915630	1474174238449	humble expression for もらう	頂く｜いただく
1499224963276	1474174238449	to humbly visit; to humbly ask	伺う｜うかがう
1499225009474	1474174238449	extra-modest expression いる	おる
1499225049360	1474174238449	extra-modest expression for ある	ござる
1499225074203	1474174238449	extra-modest expression for ～ている	～ておる
1499225115669	1474174238449	extra-modest expression for です	～でござる
1499225171734	1474174238449	extra-modest expression for いく and くる	参る｜まいる
1499225249981	1474174238449	to turn (right/left) (<i>corner</i>&nbsp;<b>を</b><i>&nbsp;direction </i>に)	曲がる｜まがる
1499225405249	1474174238449	extra-modest expression for いう	申す｜もうす
1499225450765	1474174238449	to return; to come back (～に)	戻る｜もどる
1499225498023	1474174238449	to be audible (～が)	聞こえる｜きこえる
1499225561463	1474174238449	humble expression for あげる	差し上げる｜さしあげる
1499225604757	1474174238449	to convey (message)	伝える｜つたえる
1499225655049	1474174238449	to keep (someone) waiting (～を)	待たせる｜またせる
1499225709855	1474174238449	to exchange (X と Y を)	交換する｜こうかんする
1499225767922	1474174238449	to lead a life	生活する｜せいかつする
1499225812117	1474174238449	to return (merchandise) (～を)	返品する｜へんぴんする
1499225881534	1474174238449	Oh!	おや？
1499225903132	1474174238449	...th floor	～階｜～かい
1499225918884	1474174238449	Certainly.	かしこまりました
1499225958194	1474174238449	I am not sure...	さあ
1499225987349	1474174238449	I'm very sorry.	失礼しました｜しつれいしました
1499226034140	1474174238449	a few seconds	少々｜しょうしょう
1499226067239	1474174238449	if that is the case...	それでは
1499226095669	1474174238449	if possible	できれば
1499226122223	1474174238449	really (very polite)	誠に｜まことに
1499226203246	1474174238449	again	また
1499226222025	1474174238449	X such as...	～みたいなX
1499226262493	1474174238449	You have my apologies.	申し訳ありません｜もうしわけありません
1499226317528	1474174238449	if it is okay (polite)	よろしかったら
1492999158534	1474174238449	station attendant	えきいん（さん）
1492999188085	1474174238449	size	おおきさ
1492999200770	1474174238449	parent	おや
1492999215526	1474174238449	final examination	きまつしけん
1492999245749	1474174238449	research	けんきゅう
1492999276693	1474174238449	garbage	ごみ
1492999321642	1474174238449	sugar	さとう
1492999333089	1474174238449	scholarship	しょうがくきん
1492999373972	1474174238449	relatives	しんせき
1492999392095	1474174238449	letter of recommendation	すいせんじょう
1492999422104	1474174238449	graduate school	だいがくいん
1492999457238	1474174238449	typhoon	たいふう
1492999476241	1474174238449	day	ひ
1492999511281	1474174238449	file; portfolio	ファイル
1492999576423	1474174238449	way; road; direction	みち
1492999596032	1474174238449	alarm clock	めざましどけい
1492999618816	1474174238449	dirty	きたない
1492999633235	1474174238449	to wake (someone) up (~を)	おこす
1492999678266	1474174238449	to treat (someone) to a meal (person に meal を)	おごる
1492999778870	1474174238449	to get depressed	おちこむ
1492999819317	1474174238449	to have difficulty	こまる
1492999844458	1474174238449	to take (something) out; to hand in (something) (~を)	だす
1493000021361	1474174238449	to take (someone) to (a place) (person を place に)	つれていく
1493000109263	1474174238449	to correct; to fix (~を)	なおす
1493000158447	1474174238449	to become lost; to lose one's way	みちにまよう
1493000201672	1474174238449	to be found (~が)	みつかる
1493000239044	1474174238449	to go to pick up (place まで/に person を)	むかえにいく
1493000352377	1474174238449	to translate (source を target に)	やくす
1493000452630	1474174238449	to laugh	わらう
1493000468498	1474174238449	to iron (clothes) (~に)	アイロンをかける
1493000524706	1474174238449	to collect (~を)	あつめる
1493000561297	1474174238449	to put (something) in (thing を target に)	いれる
1493000728944	1474174238449	to miss (a train, bus, etc.) (~に)	のりおくれる
1493000774421	1474174238449	to show (~を)	みせる
1493000801937	1474174238449	to oversleep	あさねぼうする
1493000831831	1474174238449	to show (someone) around (place を)	あんないする
1493000927012	1474174238449	to explain	せつめいする
1493000953159	1474174238449	to come to pick up (place まで/に person を)	むかえにくる
1493001021025	1474174238449	well...; let me see...	ええと
1493001046849	1474174238449	by the end of today	きょうじゅうに
1493001085048	1474174238449	the other day	このあいだ
1493001103281	1474174238449	about this much (= これぐらい/このくらい/これくらい)	このぐらい
1493001177547	1474174238449	I'm sorry. (casual)	ごめん
1493001208633	1474174238449	from now on	これから
1493001231990	1474174238449	Excuse me.; Sorry to interrupt you.	しつれいします
1493001269886	1474174238449	(do someone) by oneself	じぶんで
1493001309925	1474174238449	in class; during the class	じゅぎょうちゅうに
1493001367073	1474174238449	other	ほかの
1494698451564	1474174238449	guest; visitor; client; customer	おきゃくさん
1494698576584	1474174238449	man	おとこ
1494698607733	1474174238449	hot water	おゆ
1494698623826	1474174238449	woman	おんな
1494698650096	1474174238449	lock; key	かぎ
1494698668400	1474174238449	fire	かじ
1494698690978	1474174238449	paper	かみ
1494698704586	1474174238449	salary	きゅうりょう
1494698728933	1474174238449	contact lense	コンタクト
1494698782987	1474174238449	the lowest; the worst	さいてい
1494698823668	1474174238449	salaryman; company employee	サラリーマン
1494698871319	1474174238449	overtime work	ざんぎょう
1494698896075	1474174238449	prime minister	しゅしょう
1494698931559	1474174238449	shopping mall	ショッピングモール
1494698966953	1474174238449	spoon	スプーン
1494698987893	1474174238449	lottery	たからくじ
1494699022238	1474174238449	difference	ちがい
1494699050469	1474174238449	zoo	どうぶつえん
1494699071765	1474174238449	news	ニュース
1494699085124	1474174238449	panda	パンダ
1494699103485	1474174238449	heater	ヒーター
1494699119246	1474174238449	beard	ひげ
1494699133718	1474174238449	secret	ひみつ
1494699156927	1474174238449	boots	ブーツ
1494699178271	1474174238449	dormitory	りょう
1494699202307	1474174238449	travel agency	りょこうがいしゃ
1494699239465	1474174238449	dangerous	あぶない
1494699258455	1474174238449	envious	うらやましい
1494699287080	1474174238449	a little; a few	すくない
1494699314018	1474174238449	strong	つよい
1494699332196	1474174238449	to choose; to select （～を）	えらぶ
1494699389868	1474174238449	to boil water	おゆをわかす
1494699417259	1474174238449	to comb one's hair	かみをとかす
1494699454258	1474174238449	to get crowded （～を）	こむ
1494699491559	1474174238449	to win a lottery	たからくじにあたる
1494699527817	1474174238449	to take off (clothes) （～を）	ぬぐ
1494699572319	1474174238449	to shave one's beard	ひげをそる
1494699614731	1474174238449	to make tea, coffee, etc. （～を）	いれる
1494699659290	1474174238449	to be born （～が）	うまれる
1494699691749	1474174238449	to lock （～に）	かぎをかける
1494700109536	1474174238449	to be sufficient; to be enough　（～が）	たりる
1494700165054	1474174238449	to get used to... （～に）	なれる
1494700213178	1474174238449	to pray （～に）	おいのりする
1494700277578	1474174238449	to put makeup on	けしょうする
1494700324775	1474174238449	to get a full-time job (at...) (company に)	しゅうしょくする
1494700438993	1474174238449	to wear small items (necktie, watch, etc.)　（～を）	する
1494700505459	1474174238449	to get a divorce	りこんする
1494700536768	1474174238449	Congratulations!	おめでとうございます
1494700573369	1474174238449	I wonder... (casual)	～かな（あ）
1494700596987	1474174238449	oneself	じぶん
1494700627581	1474174238449	very	ずいぶん
1494700644302	1474174238449	I see. (casual)	そうか
1494700665448	1474174238449	moreover,...	それに
1494700688223	1474174238449	for example	たとえば
1494700705748	1474174238449	compared with...	～にくらべて
1494700732639	1474174238449	according to...	～によると
1494700752618	1474174238449	before...	まえ
1494700764829	1474174238449	after all	やっぱり
1494715973396	1474174238449	the rest	あと
1494716018051	1474174238449	air conditioner	エアコン
1494716103153	1474174238449	curtain	カーテン
1494716124646	1474174238449	cushion	クッション
1494716189722	1474174238449	shampoo	シャンプー
1494716209456	1474174238449	soy sauce	しょうゆ
1494718751835	1474174238449	switch	スイッチ
1494718856037	1474174238449	soup	スープ
1494718878125	1474174238449	skirt	スカート
1494718896000	1474174238449	outside	そと
1494718922752	1474174238449	sofa	ソファ
1494718961977	1474174238449	towel	タオル
1494718977330	1474174238449	diary	にっき
1494718990059	1474174238449	banana	バナナ
1494719006265	1474174238449	popcorn	ポップコーン
1494719034512	1474174238449	insect	むし
1494719049664	1474174238449	rent	やちん
1494719069462	1474174238449	evening	ゆうがた
1494719094191	1474174238449	answering machine	るすばんでんわ
1494719122761	1474174238449	refrigerator	れいぞうこ
1494719150064	1474174238449	candle	ろうそく
1494719174806	1474174238449	bright	あかるい
1494719189782	1474174238449	to feel sick	きぶんがわるい
1494719217375	1474174238449	dark	くらい
1494719232593	1474174238449	embarrassing; to feel embarrassed	はずかしい
1494719288520	1474174238449	(something) opens （～が）	あく
1494719347551	1474174238449	to apologize (person に)	あやまる
1494719401164	1474174238449	to press; to push （～を）	おす
1494719455217	1474174238449	to drop (something) （～を）	おとす
1494719490106	1474174238449	water boils	おゆがわく
1494719515113	1474174238449	to fall down	ころぶ
1494719579039	1474174238449	to break (something) （～を）	こわす
1494719608003	1474174238449	to bloom （～が）	さく
1494719642197	1474174238449	(something) closes （～が）	しまる
1494719681969	1474174238449	to be saved; to be helped	たすかる
1494719711950	1474174238449	to ask (a favor) (person に～を)	たのむ
1494719770361	1474174238449	(something) turns on （～が）	つく
1494719806477	1474174238449	to make dirty （～を）	よごす
1494719842024	1474174238449	(something) drops （～が）	おちる
1494719876255	1474174238449	to tidy up （～を）	かたづける
1494720037134	1474174238449	to think (about); to consider	かんがえる
1494720101094	1474174238449	(something) goes off （～が）	きえる
1494720153236	1474174238449	(something) breaks （～が）	こわれる
1494720186008	1474174238449	to become dirty （～が）	よごれる
1494720215840	1474174238449	to place an order （～を）	ちゅうもんする
1494720250926	1474174238449	right away	いますぐ
1494720275752	1474174238449	thanks to... （～の）	おかげで
1494720316703	1474174238449	See you. (lit., I'm leaving ahead of you.)	おさきにしつれいします
1494720379552	1474174238449	You must be tired after working so hard. (ritualistic expression)	おつかれさま（でした）
1494720447844	1474174238449	short form of ～（ん）でしょう	～（ん）だろう
1494720538811	1474174238449	What should I/we do?	どうしよう
1494720579876	1474174238449	really	ほんとうに
1494720598478	1474174238449	first of all	まず
1494720614942	1474174238449	by (time/date)	～までに
1500927128835	1474174238449	baby	赤ちゃん｜あかちゃん
1500927191092	1474174238449	mosquito	蚊｜か
1500927231977	1474174238449	business meeting; conference	会議｜かいぎ
1500927284539	1474174238449	gasoline	ガソリン
1500927309054	1474174238449	environment	環境｜かんきょう
1500927343477	1474174238449	police; police station	警察｜けいさつ
1500927382043	1474174238449	factory	工場｜こうじょう
1500927416382	1474174238449	things; matters	事｜こと
1500927441898	1474174238449	last train	終電｜しゅうでん
1500927481193	1474174238449	preparation	準備｜じゅんび
1500927514781	1474174238449	speech	スピーチ
1500927555286	1474174238449	government	政府｜せいふ
1500927611181	1474174238449	sexual offender; pervert	ちかん
1500927644488	1474174238449	colleague	同僚｜どうりょう
1500927685900	1474174238449	thief; burglar	泥棒｜どろぼう
1500927732634	1474174238449	abbreviation of アルバイト	バイト
1500927818303	1474174238449	criminal	犯人｜はんにん
1500927872715	1474174238449	poster	ポスター
1500927898678	1474174238449	old days; past	昔｜むかし
1500927977709	1474174238449	complaint	文句｜もんく
1500928010106	1474174238449	absence; not at home	留守｜るす
1500928085767	1474174238449	far (away)	遠い｜とおい
1500928126699	1474174238449	awful	ひどい
1500928142246	1474174238449	safe	安全（な）｜あんぜん（な）
1500928224184	1474174238449	precious; valuable	大切（な）｜たいせつ（な）
1500928315208	1474174238449	messy; disorganized	めちゃくちゃ（な）
1500928389027	1474174238449	to put; to lay; to place (<i>place </i>に<i>&nbsp;object </i>を)	置く｜おく
1500928610328	1474174238449	to notice (～に)	気が付く｜きがつく
1500929041477	1474174238449	to kick (～を)	ける
1500929120172	1474174238449	to bite (～を)	刺す｜さす
1500929170803	1474174238449	to touch (～に/を)	触る｜さわる
1500929245863	1474174238449	to be arrested; to be caught (～が)	捕まる｜つかまる
1500929312988	1474174238449	to wrap; to cover (～を)	包む｜つつむ
1500929381158	1474174238449	to strike; to hit; to punch (～を)	なぐる
1500929450895	1474174238449	to steal; to rob (～を)	盗む｜ぬすむ
1500929522054	1474174238449	to post; to stick&nbsp;(<i>place</i> に <i>object</i> を)	貼る｜はる
1500929624735	1474174238449	to step on (～を)	踏む｜ふむ
1500929730068	1474174238449	to turn down (somebody); to reject; to jilt (～を)	ふる
1500929794332	1474174238449	to complain	文句を言う｜もんくをいう
1500929831541	1474174238449	to bake; to burn; to grill (～を)	焼く｜やく
1500929892242	1474174238449	to give (to pets, plants, younger siblings, etc.) (～を)	やる
1500929966398	1474174238449	to bully (～を)	いじめる
1500930009498	1474174238449	to change clothes	着替える｜きがえる
1500930131499	1474174238449	to save money (～を)	ためる
1500930167950	1474174238449	to continue	続ける｜つづける
1500930222629	1474174238449	to praise; to say nice things (～を)	ほめる
1500930271090	1474174238449	to make a mistake (～を)	間違える｜まちがえる
1500930333396	1474174238449	to find (～を)	見つける｜みつける
1500930377119	1474174238449	to insult; to make a fool of...	ばかにする
1500930412980	1474174238449	to be surprised (～に)	びっくりする
1500930462299	1474174238449	to take a nap	昼寝をする｜ひるねをする
1500930495533	1474174238449	to contact (<i>person </i>に)	連絡する｜れんらくする
1500930548478	1474174238449	while...	～間に｜～あいだに
1500930577944	1474174238449	time of...; when...	ころ
1500930597659	1474174238449	a little	少し｜すこし
1500930618364	1474174238449	anyhow; anyway	とにかく
1501281229085	1474174238449	partner	相手｜あいて
1501281254531	1474174238449	reception desk	受付｜うけつけ
1501281290037	1474174238449	English conversation	英会話｜えいかいわ
1501281328324	1474174238449	(someone's) daughter (polite)	お嬢さん｜おじょうさん
1501281369693	1474174238449	household matters	家事｜かじ
1501281392867	1474174238449	wind	風｜かぜ
1501281414428	1474174238449	God	神様｜かみさま
1501281436121	1474174238449	tree	木｜き
1501281459084	1474174238449	junior member of a group	後輩｜こうはい
1501281491298	1474174238449	monkey	猿｜さる
1501281517336	1474174238449	freedom	自由｜じゆう
1501281542181	1474174238449	cram school	塾｜じゅく
1501281582205	1474174238449	document	書類｜しょるい
1501281606455	1474174238449	senior member of a group	先輩｜せんぱい
1501281630603	1474174238449	living alone	一人暮らし｜ひとりぐらし
1501281674043	1474174238449	subordinate	部下｜ぶか
1501281694064	1474174238449	review of a lesson	復習｜ふくしゅう
1501281722782	1474174238449	project	プロジェクト
1501281770110	1474174238449	ball	ボール
1501281784639	1474174238449	waste (money)	無駄遣い｜むだづかい
1501281842015	1474174238449	license	免許｜めんきょ
1501282255620	1474174238449	Europe	ヨーロッパ
1501282291725	1474174238449	preparation of lessons	予習｜よしゅう
1501282316789	1474174238449	noisy; annoying	うるさい
1501282344436	1474174238449	worried about (～が)	心配（な）｜しんぱい（な）
1501282486521	1474174238449	poor	貧乏（な）｜びんぼう（な）
1501282521871	1474174238449	fluent (<i>language</i>&nbsp;が)	ぺらぺら（な）
1501282562833	1474174238449	strange; unusual	変（な）｜へん（な）
1501282603215	1474174238449	easy; comfortable	楽（な）｜らく（な）
1501282632681	1474174238449	the wind blows	風が吹く｜かぜがふく
1501282664804	1474174238449	to win (～に)	勝つ｜かつ
1501282716666	1474174238449	to make a photocopy	コピーを取る｜コピーをとる
1501284164568	1474174238449	to carry (～を)	運ぶ｜はこぶ
1501284205936	1474174238449	to run	走る｜はしる
1501284224757	1474174238449	to pick up (something) (～を)	拾う｜ひろう
1501284297061	1474174238449	to leave (someone/something) alone; to neglect (～を)	放っておく｜ほ（う）っておく
1501284411142	1474174238449	to be in time (～に)	間に合う｜まにあう
1501284465641	1474174238449	to make a plan	計画を立てる｜けいかくをたてる
1501284504174	1474174238449	to raise; to bring up (～を)	育てる｜そだてる
1501284548003	1474174238449	to help; to rescue (～を)	助ける｜たすける
1501284592717	1474174238449	to lose (a match) (～に)	負ける｜まける
1501284627239	1474174238449	to pray for help (<i>person</i>&nbsp;に～を)	お願いする｜おねがいする
1501284683102	1474174238449	to agree (～に)	賛成する｜さんせいする
1501284727814	1474174238449	to fail; to be unsuccessful	失敗する｜しっぱいする
1501284781369	1474174238449	to stay up all night	徹夜する｜てつやする
1501284823336	1474174238449	to oppose; to object to (～に)	反対する｜はんたいする
1501284876811	1474174238449	to translate (～を)	翻訳する｜ほんやくする
1501284928230	1474174238449	like this	こんなふう
1501284945291	1474174238449	freely	自由に｜じゆうに
1501284967432	1474174238449	for a long time; all the time	ずっと
1501284989599	1474174238449	definitely	絶対に｜ぜったいに
1501285035959	1474174238449	I don't think so.	そんなこと（は）ない
1501285056720	1474174238449	...for example	～とか
1501285079071	1474174238449	many times	何度も｜なんども
1501285101052	1474174238449	a little more	もう少し｜もうすこし
1501281229085	1474174238449	partner	相手｜あいて
1501281254531	1474174238449	reception desk	受付｜うけつけ
1501281290037	1474174238449	English conversation	英会話｜えいかいわ
1501281328324	1474174238449	(someone's) daughter (polite)	お嬢さん｜おじょうさん
1501281369693	1474174238449	household matters	家事｜かじ
1501281392867	1474174238449	wind	風｜かぜ
1501281414428	1474174238449	God	神様｜かみさま
1501281436121	1474174238449	tree	木｜き
1501281459084	1474174238449	junior member of a group	後輩｜こうはい
1501281491298	1474174238449	monkey	猿｜さる
1501281517336	1474174238449	freedom	自由｜じゆう
1501281542181	1474174238449	cram school	塾｜じゅく
1501281582205	1474174238449	document	書類｜しょるい
1501281606455	1474174238449	senior member of a group	先輩｜せんぱい
1501281630603	1474174238449	living alone	一人暮らし｜ひとりぐらし
1501281674043	1474174238449	subordinate	部下｜ぶか
1501281694064	1474174238449	review of a lesson	復習｜ふくしゅう
1501281722782	1474174238449	project	プロジェクト
1501281770110	1474174238449	ball	ボール
1501281784639	1474174238449	waste (money)	無駄遣い｜むだづかい
1501281842015	1474174238449	license	免許｜めんきょ
1501282255620	1474174238449	Europe	ヨーロッパ
1501282291725	1474174238449	preparation of lessons	予習｜よしゅう
1501282316789	1474174238449	noisy; annoying	うるさい
1501282344436	1474174238449	worried about (～が)	心配（な）｜しんぱい（な）
1501282486521	1474174238449	poor	貧乏（な）｜びんぼう（な）
1501282521871	1474174238449	fluent (<i>language</i>&nbsp;が)	ぺらぺら（な）
1501282562833	1474174238449	strange; unusual	変（な）｜へん（な）
1501282603215	1474174238449	easy; comfortable	楽（な）｜らく（な）
1501282632681	1474174238449	the wind blows	風が吹く｜かぜがふく
1501282664804	1474174238449	to win (～に)	勝つ｜かつ
1501282716666	1474174238449	to make a photocopy	コピーを取る｜コピーをとる
1501284164568	1474174238449	to carry (～を)	運ぶ｜はこぶ
1501284205936	1474174238449	to run	走る｜はしる
1501284224757	1474174238449	to pick up (something) (～を)	拾う｜ひろう
1501284297061	1474174238449	to leave (someone/something) alone; to neglect (～を)	放っておく｜ほ（う）っておく
1501284411142	1474174238449	to be in time (～に)	間に合う｜まにあう
1501284465641	1474174238449	to make a plan	計画を立てる｜けいかくをたてる
1501284504174	1474174238449	to raise; to bring up (～を)	育てる｜そだてる
1501284548003	1474174238449	to help; to rescue (～を)	助ける｜たすける
1501284592717	1474174238449	to lose (a match) (～に)	負ける｜まける
1501284627239	1474174238449	to pray for help (<i>person</i>&nbsp;に～を)	お願いする｜おねがいする
1501284683102	1474174238449	to agree (～に)	賛成する｜さんせいする
1501284727814	1474174238449	to fail; to be unsuccessful	失敗する｜しっぱいする
1501284781369	1474174238449	to stay up all night	徹夜する｜てつやする
1501284823336	1474174238449	to oppose; to object to (～に)	反対する｜はんたいする
1501284876811	1474174238449	to translate (～を)	翻訳する｜ほんやくする
1501284928230	1474174238449	like this	こんなふう
1501284945291	1474174238449	freely	自由に｜じゆうに
1501284967432	1474174238449	for a long time; all the time	ずっと
1501284989599	1474174238449	definitely	絶対に｜ぜったいに
1501285035959	1474174238449	I don't think so.	そんなこと（は）ない
1501285056720	1474174238449	...for example	～とか
1501285079071	1474174238449	many times	何度も｜なんども
1501285101052	1474174238449	a little more	もう少し｜もうすこし
1501794285493	1474174238449	memory	思い出｜おもいで
1501794317033	1474174238449	trip to a foreign country	海外旅行｜かいがいりょこう
1501794362197	1474174238449	body	体｜からだ
1501794384672	1474174238449	socks	靴下｜くつした
1501794422560	1474174238449	international call	国際電話｜こくさいでんわ
1501794456614	1474174238449	society	社会｜しゃかい
1501794485426	1474174238449	tuition	授業料｜じゅぎょうりょう
1501794535609	1474174238449	elementary school	小学校｜しょうがっこう
1501794569205	1474174238449	election	選挙｜せんきょ
1501794592491	1474174238449	software	ソフト
1501794614138	1474174238449	tire	タイヤ
1501794629002	1474174238449	free of charge	ただ
1501794645694	1474174238449	place	場所｜ばしょ
1501794660260	1474174238449	villa; vacation home	別荘｜べっそう
1501794696221	1474174238449	bonus	ボーナス
1501794717688	1474174238449	<i>Bon </i>dance (Japanese traditional dance)	盆踊り｜ぼんおどり
1501794771595	1474174238449	interview	面接｜めんせつ
1501794806858	1474174238449	dinner	夕食｜ゆうしょく
1501794829163	1474174238449	ideal	理想｜りそう
1501794855958	1474174238449	looking after a house during someone's absence	留守番｜るすばん
1501794902631	1474174238449	(food is) terrible	まずい
1501794929736	1474174238449	the rain stops	雨がやむ｜あめがやむ
1501794964960	1474174238449	(someone) is gone; to disappear (～が)	いなくなる
1501795051937	1474174238449	to be in someone's care (～に)	お世話になる｜おせわになる
1501795104163	1474174238449	to have a stomachache	おなかをこわす
1501795155106	1474174238449	to find something agreeable (～が/を)	気に入る｜きにいる
